,Confidence Category,True Performance,Number of Games
5,48.62%,54.55%,135
3,56.35%,53.56%,836
0,54.76%,52.99%,120
1,55.88%,48.15%,57
2,53.78%,48.15%,29
4,54.06%,45.39%,293
