,Confidence Category,True Performance,Number of Games
0,48.62%,54.55%,135
4,56.35%,53.67%,873
5,54.76%,52.99%,120
1,53.78%,48.15%,29
3,55.88%,48.15%,57
2,54.06%,45.72%,310
