,Confidence Category,True Performance,Number of Games
1,48.62%,72.22%,43
2,56.35%,54.47%,515
4,54.76%,52.99%,120
3,53.78%,50.0%,28
5,54.06%,48.92%,142
0,55.88%,40.0%,15
