,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
955,11/19/2021,Maryland,Hofstra,-11.0,Maryland Wins By 11.5,55.25%,-110,,,,,,Maryland -11.0,3.0%,1.5%,,69-67,0.0,
956,11/19/2021,Belmont,Kennesaw State,-16.0,Belmont Wins By 10.8,51.42%,-120,,,,,,Kennesaw State +16.0,-3.%,-1.%,,97-78,0.0,
957,11/19/2021,Georgia Tech,Georgia,-3.5,Georgia Tech Wins By 5.3,51.42%,-105,,,,,,Georgia Tech -3.5,0.2%,0.1%,,88-78,1.0,
958,11/19/2021,Santa Clara,Cal Poly,-15.5,Santa Clara Wins By 16.9,57.32%,-110,,,,,,Santa Clara -15.5,5.2%,2.6%,,87-57,1.0,
959,11/19/2021,George Mason,James Madison,-3.0,George Mason Wins By 3.4,57.32%,-110,,,,,,George Mason -3.0,5.2%,2.6%,,64-67,0.0,
960,11/19/2021,Creighton,Brown,-10.5,Creighton Wins By 9.4,57.32%,-115,,,,,,Brown +10.5,4.1%,2.1%,,78-57,0.0,
961,11/19/2021,Vermont,Yale,-5.0,Vermont Wins By 6.3,55.25%,-110,,,,,,Vermont -5.0,3.0%,1.5%,,61-53,1.0,
962,11/19/2021,Virginia,Coppin State,-25.0,Virginia Wins By 15.5,57.32%,-105,,,,,,Coppin State +25.0,6.3%,3.1%,,68-52,1.0,
963,11/19/2021,Nebraska,Idaho State,-12.0,Nebraska Wins By 11.9,57.32%,-105,,,,,,Idaho State +12.0,6.3%,3.1%,,78-60,0.0,
964,11/19/2021,San Diego,Cal St. Fullerton,-6.5,San Diego Wins By 8.1,55.25%,-110,,,,,,San Diego -6.5,3.0%,1.5%,,55-57,0.0,
965,11/19/2021,Furman,Radford,-15.5,Furman Wins By 13.0,57.32%,100,,,,,,Radford +15.5,7.3%,3.6%,,81-64,0.0,
966,11/19/2021,Louisiana Tech,Northwestern State,-15.0,Louisiana Tech Wins By 9.7,51.42%,-105,,,,,,Northwestern State +15.0,0.2%,0.1%,,83-64,0.0,
967,11/19/2021,Davidson,Penn,-8.0,Davidson Wins By 5.2,55.25%,-105,,,,,,Penn +8.0,4.1%,2.1%,,72-60,0.0,
968,11/19/2021,Weber State,Ball State,-10.0,Weber State Wins By 6.7,55.25%,-110,,,,,,Ball State +10.0,3.0%,1.5%,,85-74,0.0,
969,11/19/2021,Massachusetts,UNC Greensboro,-4.0,Massachusetts Wins By 4.0,55.25%,-115,,,,,,Massachusetts -4.0,1.9%,0.8%,,93-90,0.0,
970,11/19/2021,Duquesne,Northeastern,-1.0,Northeastern Wins By 4.1,57.32%,-110,,,,,,Northeastern +1.0,5.2%,2.6%,,55-71,1.0,
971,11/19/2021,Texas State,Dixie State,-8.0,Texas State Wins By 5.9,57.32%,-110,,,,,,Dixie State +8.0,5.2%,2.6%,,85-65,0.0,
972,11/19/2021,Georgetown,Siena,-15.5,Georgetown Wins By 9.5,57.32%,-115,,,,,,Siena +15.5,4.1%,2.1%,,83-65,0.0,
973,11/19/2021,East Carolina,Old Dominion,-2.0,East Carolina Wins By 2.0,55.25%,-115,,,,,,East Carolina -2.0,1.9%,0.8%,,73-60,1.0,
974,11/19/2021,Rice,New Orleans,-7.0,Rice Wins By 2.5,51.42%,-105,,,,,,New Orleans +7.0,0.2%,0.1%,,83-78,1.0,
975,11/19/2021,Merrimack,Lehigh,-6.5,Merrimack Wins By 6.5,57.32%,-105,,,,,,Merrimack -6.5,6.3%,3.1%,,55-45,1.0,
976,11/19/2021,South Dakota,Southern,-6.5,South Dakota Wins By 6.7,57.32%,100,,,,,,South Dakota -6.5,7.3%,3.6%,,71-68,0.0,
977,11/19/2021,Troy,North Dakota,-4.0,Troy Wins By 6.1,57.32%,-115,,,,,,Troy -4.0,4.1%,2.1%,,72-74,0.0,
978,11/19/2021,Pittsburgh,Towson,-6.0,Pittsburgh Wins By 3.5,57.32%,-110,,,,,,Towson +6.0,5.2%,2.6%,,63-59,1.0,
979,11/19/2021,Bowling Green,Norfolk State,-8.0,Bowling Green Wins By 3.9,65.96%,-105,,,,,,Norfolk State +8.0,15.%,7.6%,,84-90,1.0,
980,11/19/2021,Fordham,Maryland Eastern Shore,-14.0,Fordham Wins By 16.5,51.42%,-105,,,,,,Fordham -14.0,0.2%,0.1%,,73-75,0.0,
981,11/19/2021,Stetson,Lamar,-1.0,Stetson Wins By 1.4,51.42%,-115,,,,,,Stetson -1.0,-2.%,-1.%,,60-59,1.0,
982,11/19/2021,Robert Morris,Mount St. Mary's,-4.5,Robert Morris Wins By 4.0,51.42%,-115,,,,,,Mount St. Mary's +4.5,-2.%,-1.%,,70-74,1.0,
983,11/19/2021,FIU,Green Bay,-4.5,FIU Wins By 4.2,57.32%,-110,,,,,,Green Bay +4.5,5.2%,2.6%,,63-60,1.0,
984,11/19/2021,George Washington,UMass Lowell,-4.5,George Washington Wins By 1.4,51.42%,-110,,,,,,UMass Lowell +4.5,-1.%,-0.%,,56-67,1.0,
985,11/19/2021,Eastern Washington,Cal St. Northridge,-1.5,Cal St. Northridge Wins By 2.1,51.42%,-110,,,,,,Cal St. Northridge +1.5,-1.%,-0.%,,67-64,0.0,
986,11/19/2021,Youngstown State,St. Thomas,-10.5,St. Thomas Wins By 1.9,57.32%,-110,,,,,,St. Thomas +10.5,5.2%,2.6%,,79-75,1.0,
987,11/17/2021,UCLA,North Florida,-25.0,UCLA Wins By 27.2,57.32%,-115,,,,,,UCLA -25.0,4.1%,2.1%,,98-63,1.0,
988,11/17/2021,Texas,Northern Colorado,-22.0,Texas Wins By 18.3,57.32%,-110,,,,,,Northern Colorado +22.0,5.2%,2.6%,,62-49,1.0,
989,11/17/2021,Baylor,Central Arkansas,-34.5,Baylor Wins By 30.0,57.32%,-110,,,,,,Central Arkansas +34.5,5.2%,2.6%,,92-47,0.0,
990,11/17/2021,Connecticut,LIU Brooklyn,-28.0,Connecticut Wins By 26.5,57.32%,-110,,,,,,LIU Brooklyn +28.0,5.2%,2.6%,,93-40,0.0,
991,11/17/2021,Michigan State,Butler,-3.0,Michigan State Wins By 2.8,50.35%,-105,,,,,,Butler +3.0,6.3%,3.1%,,73-52,0.0,
992,11/17/2021,Indiana,St. John's,-4.5,Indiana Wins By 6.5,57.32%,-115,,,,,,Indiana -4.5,4.1%,2.1%,,76-74,0.0,
993,11/17/2021,Florida State,Tulane,-16.5,Florida State Wins By 12.6,57.32%,-110,,,,,,Tulane +16.5,5.2%,2.6%,,59-54,1.0,
994,11/17/2021,Oklahoma State,North Carolina State,-3.5,Oklahoma State Wins By 4.9,55.25%,-110,,,,,,Oklahoma State -3.5,5.2%,2.6%,,74-68,1.0,
995,11/17/2021,Maryland,George Mason,-9.5,Maryland Wins By 8.6,57.32%,-115,,,,,,George Mason +9.5,4.1%,2.1%,,66-71,1.0,
996,11/17/2021,Mississippi State,Detroit,-15.5,Mississippi State Wins By 20.1,57.32%,-110,,,,,,Mississippi State -15.5,5.2%,2.6%,,77-64,0.0,
997,11/17/2021,Saint Mary's,Bellarmine,-16.0,Saint Mary's Wins By 16.2,57.32%,-110,,,,,,Saint Mary's -16.0,5.2%,2.6%,,73-64,0.0,
998,11/17/2021,Arkansas,Northern Iowa,-12.5,Arkansas Wins By 10.7,57.32%,-105,,,,,,Northern Iowa +12.5,6.3%,3.1%,,93-80,0.0,
999,11/17/2021,Vanderbilt,VCU,-5.0,Vanderbilt Wins By 7.5,57.32%,-105,,,,,,Vanderbilt -5.0,6.3%,3.1%,,37-48,0.0,
1000,11/17/2021,Rhode Island,Boston College,-5.5,Rhode Island Wins By 4.9,55.25%,-110,,,,,,Boston College +5.5,5.2%,2.6%,,57-49,0.0,
1001,11/17/2021,Stanford,Valparaiso,-13.5,Stanford Wins By 8.9,55.25%,-110,,,,,,Valparaiso +13.5,5.2%,2.6%,,74-60,0.0,
1002,11/17/2021,Grand Canyon,Prairie View A&M,-12.5,Grand Canyon Wins By 12.5,57.32%,-110,,,,,,Grand Canyon -12.5,5.2%,2.6%,,91-64,1.0,
