,Confidence Category,True Performance,Number of Games
0,48.62%,54.55%,135
4,56.35%,53.81%,946
5,54.76%,52.99%,121
1,53.78%,48.15%,29
2,55.88%,48.15%,57
3,54.06%,46.25%,333
