,Confidence Category,True Performance,Number of Games
3,48.62%,54.55%,135
0,54.76%,53.39%,121
2,56.35%,52.73%,970
1,55.88%,48.15%,57
4,53.78%,48.15%,29
5,54.06%,46.73%,345
