,Confidence Category,True Performance,Number of Games
2,48.62%,54.55%,135
4,56.35%,53.26%,668
5,54.76%,52.99%,120
0,55.88%,48.15%,57
1,53.78%,48.15%,29
3,54.06%,45.79%,208
