,Confidence Category,True Performance,Number of Games
2,48.62%,54.55%,135
3,54.76%,53.39%,121
5,56.35%,52.91%,1015
0,55.88%,48.15%,57
4,53.78%,48.15%,29
1,54.06%,46.99%,363
