,Confidence Category,True Performance,Number of Games
0,48.62%,54.55%,135
4,56.35%,54.33%,542
1,54.76%,52.99%,120
2,53.78%,50.0%,28
3,54.06%,48.92%,150
5,55.88%,48.15%,57
