,Confidence Category,True Performance,Number of Games
4,48.62%,54.55%,136
2,54.76%,53.02%,236
1,56.35%,52.14%,1295
5,53.78%,51.72%,31
3,54.06%,48.43%,449
0,55.88%,48.15%,57
