,Confidence Category,True Performance,Number of Games
1,48.62%,54.55%,135
5,54.76%,53.39%,121
2,56.35%,52.56%,1043
3,53.78%,48.15%,29
4,55.88%,48.15%,57
0,54.06%,46.67%,377
