,Confidence Category,True Performance,Number of Games
4,48.62%,54.55%,135
0,54.76%,53.37%,236
3,56.35%,52.18%,1262
1,53.78%,51.72%,31
5,54.06%,48.43%,449
2,55.88%,48.15%,57
