,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
442,01/29/2022,Villanova,St. John's,-13.5,Villanova Wins By 13.3,50.35%,-110,140.5,139.0,-105.0,Under 140.5,56.35%,St. John's +13.5,-2.%,-1.%,2.7%,73-62,1.0,1.0
443,01/29/2022,Kansas,Kentucky,-4.5,Kansas Wins By 4.3,55.25%,-115,153.0,155.5,100.0,Over 153.0,56.35%,Kentucky +4.5,1.9%,0.8%,3.9%,62-80,1.0,0.0
444,01/29/2022,Texas Tech,Mississippi State,-7.0,Texas Tech Wins By 7.4,55.25%,-115,132.5,138.2,-110.0,Over 132.5,56.35%,Texas Tech -7.0,1.9%,0.8%,1.6%,76-50,1.0,0.0
445,01/29/2022,Illinois,Northwestern,-5.0,Illinois Wins By 4.1,50.35%,-110,139.5,143.7,-110.0,Over 139.5,54.06%,Northwestern +5.0,-2.%,-1.%,1.6%,59-56,1.0,0.0
446,01/29/2022,San Francisco,Santa Clara,-8.0,San Francisco Wins By 8.1,50.35%,-105,149.5,147.2,-115.0,Under 149.5,56.35%,San Francisco -8.0,-0.%,-0.%,0.4%,88-85,0.0,0.0
447,01/29/2022,Connecticut,DePaul,-8.5,Connecticut Wins By 5.0,50.35%,-115,141.5,142.8,100.0,Over 141.5,54.06%,DePaul +8.5,-3.%,-1.%,3.9%,57-50,1.0,0.0
448,01/29/2022,Saint Mary's,Pepperdine,-20.5,Saint Mary's Wins By 19.2,50.35%,-105,133.5,135.0,100.0,Over 133.5,56.35%,Pepperdine +20.5,-0.%,-0.%,3.9%,81-57,0.0,1.0
449,01/29/2022,Arkansas,West Virginia,-2.5,Arkansas Wins By 6.0,55.25%,-110,143.0,142.4,100.0,Under 143.0,56.35%,Arkansas -2.5,3.0%,1.5%,3.9%,77-68,1.0,0.0
450,01/29/2022,BYU,Pacific,-12.0,BYU Wins By 12.6,51.42%,-110,136.0,137.0,-105.0,Over 136.0,54.06%,BYU -12.0,-1.%,-0.%,2.7%,73-76,0.0,1.0
451,01/29/2022,Murray State,Morehead State,-10.0,Murray State Wins By 10.7,50.35%,-105,136.0,138.3,-110.0,Over 136.0,56.35%,Murray State -10.0,-0.%,-0.%,1.6%,77-66,1.0,1.0
452,01/29/2022,Oregon,Oregon State,-12.5,Oregon Wins By 12.1,50.35%,-105,144.0,148.7,-115.0,Over 144.0,56.35%,Oregon State +12.5,-0.%,-0.%,0.4%,78-56,0.0,0.0
453,01/29/2022,USC,California,-12.5,USC Wins By 8.6,55.25%,-105,128.5,134.9,100.0,Over 128.5,56.35%,California +12.5,4.1%,2.1%,3.9%,79-72,1.0,1.0
454,01/29/2022,UAB,Marshall,-9.0,UAB Wins By 9.2,51.42%,100,152.0,146.4,-110.0,Under 152.0,54.06%,UAB -9.0,1.4%,0.7%,1.6%,81-84,0.0,0.0
