,Confidence Category,True Performance,Number of Games
5,48.62%,54.55%,135
0,56.35%,53.66%,607
2,54.76%,52.99%,120
3,55.88%,48.15%,57
4,53.78%,48.15%,29
1,54.06%,46.2%,183
