,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
30,11/24/2021,Massachusetts,UMass Lowell,-10.0,Massachusetts Wins By 7.1,51.42%,-115,146.0,150.0,-110.0,Over 146.0,56.35%,UMass Lowell +10.0,-2.%,-1.%,1.6%,,,
31,11/24/2021,Southern Utah,Bowling Green,-2.0,Southern Utah Wins By 3.7,55.25%,-110,150.5,158.5,-110.0,Over 150.5,54.76%,Southern Utah -2.0,3.0%,1.5%,1.6%,,,
32,11/24/2021,Tulane,Valparaiso,-4.5,Tulane Wins By 2.3,55.25%,-105,132.0,137.6,-110.0,Over 132.0,54.76%,Valparaiso +4.5,4.1%,2.1%,1.6%,,,
33,11/24/2021,Utah Valley,Nicholls State,-1.0,Utah Valley Wins By 5.1,55.25%,-110,137.0,140.9,-120.0,Over 137.0,54.76%,Utah Valley -1.0,3.0%,1.5%,-0.%,,,
34,11/24/2021,Rice,Fordham,-6.5,Rice Wins By 2.0,55.25%,-105,142.0,152.6,-110.0,Over 142.0,54.76%,Fordham +6.5,4.1%,2.1%,1.6%,,,
35,11/24/2021,Montana,UC San Diego,-5.5,Montana Wins By 4.9,57.32%,-115,139.5,135.4,-110.0,Under 139.5,53.78%,UC San Diego +5.5,4.1%,2.1%,1.6%,,,
36,11/24/2021,Fairfield,Stony Brook,-1.0,Fairfield Wins By 3.7,51.42%,-110,134.5,139.7,-115.0,Over 134.5,56.35%,Fairfield -1.0,-1.%,-0.%,0.4%,,,
37,11/24/2021,Mercer,Middle Tennessee,-4.5,Mercer Wins By 1.4,65.96%,-105,131.5,141.4,-115.0,Over 131.5,54.76%,Middle Tennessee +4.5,15.%,7.6%,0.4%,,,
38,11/24/2021,VMI,Presbyterian,-3.5,VMI Wins By 3.2,55.25%,-110,132.0,141.5,-110.0,Over 132.0,54.76%,Presbyterian +3.5,3.0%,1.5%,1.6%,,,
39,11/24/2021,Cal St. Fullerton,Northern Arizona,-3.5,Cal St. Fullerton Wins By 2.5,51.42%,-110,141.0,148.2,-120.0,Over 141.0,54.06%,Northern Arizona +3.5,-1.%,-0.%,-0.%,,,
40,11/24/2021,South Florida,Hampton,-10.0,South Florida Wins By 10.1,51.42%,-110,133.5,130.1,-120.0,Under 133.5,56.35%,South Florida -10.0,-1.%,-0.%,-0.%,,,
41,11/24/2021,Canisius,Coppin State,-10.0,Canisius Wins By 8.0,51.42%,-110,146.0,138.6,-110.0,Under 146.0,56.35%,Coppin State +10.0,-1.%,-0.%,1.6%,,,
42,11/24/2021,Eastern Michigan,Western Illinois,-2.0,Eastern Michigan Wins By 0.7,51.42%,-110,146.5,157.2,-115.0,Over 146.5,56.35%,Western Illinois +2.0,-1.%,-0.%,0.4%,,,
43,11/24/2021,New Orleans,Central Arkansas,-8.5,New Orleans Wins By 8.3,51.42%,-110,151.5,145.2,-105.0,Under 151.5,56.35%,Central Arkansas +8.5,-1.%,-0.%,2.7%,,,
44,11/24/2021,UTSA,Lamar,-5.0,UTSA Wins By 3.6,51.42%,-105,141.0,141.0,-115.0,Over 141.0,56.35%,Lamar +5.0,0.2%,0.1%,0.4%,,,
45,11/24/2021,Cal Poly,Idaho,-6.0,Cal Poly Wins By 7.2,65.96%,-105,132.0,143.0,-110.0,Over 132.0,54.76%,Cal Poly -6.0,15.%,7.6%,1.6%,,,
46,11/24/2021,Cornell,St. Francis PA,-3.0,Cornell Wins By 3.0,65.96%,-105,153.0,153.3,-105.0,Over 153.0,56.35%,St. Francis PA +3.0,15.%,7.6%,2.7%,,,
47,11/24/2021,Air Force,Denver,-6.5,Air Force Wins By 4.3,51.42%,-110,122.5,126.1,-120.0,Over 122.5,56.35%,Denver +6.5,-1.%,-0.%,-0.%,,,
48,11/24/2021,Radford,William & Mary,-5.0,Radford Wins By 5.7,51.42%,-110,135.0,138.1,-110.0,Over 135.0,56.35%,Radford -5.0,-1.%,-0.%,1.6%,,,
49,11/23/2021,Gonzaga,UCLA,-7.0,Gonzaga Wins By 6.7,55.25%,-105,156.0,152.2,-115.0,Under 156.0,54.76%,UCLA +7.0,4.1%,2.1%,0.4%,83-63,0.0,1.0
50,11/23/2021,Houston,Wisconsin,-7.5,Houston Wins By 5.9,55.25%,-115,122.0,128.1,-110.0,Over 122.0,54.76%,Wisconsin +7.5,1.9%,0.8%,1.6%,63-65,1.0,1.0
51,11/23/2021,Indiana,Jackson State,-24.5,Indiana Wins By 17.6,50.35%,-110,126.5,139.4,-110.0,Over 126.5,53.78%,Jackson State +24.5,-2.%,-1.%,1.6%,70-35,0.0,0.0
